method,prior_status,executed_this_campaign,implementation,P9_result,scientific_verdict,technical_verdict,reason,artifact_paths
exact_normalization,closed,yes,Qiskit deterministic exact passes,0% 2q reduction,SCIENTIFIC_NO_GO,AVAILABLE,reproduced prior closed result,results/p11_compiler_attack/p9_exact_normalization
dependency_local_patches,untested,yes,causal dependency-aware extractor; 60 frozen patches,2/60 exact reductions; 3/170 panel 2q reduction,SCIENTIFIC_NO_GO,PASS_WITH_BOUNDED_TIMEOUTS,below Gate 1 5%/15% thresholds,results/p11_final_campaign/P9_PATCH_PANEL.json;results/p11_final_campaign/synthesis_panel_summary.json
BQSKit_q3_q4,untested,yes,BQSKit 1.2.1 exact unitary synthesis,2/60 verified reductions,SCIENTIFIC_NO_GO,PARTIAL_WITH_TIMEOUT_EVIDENCE,q3 complete; q4 hard blocks hit 120s budget; custom fallback continued,results/p11_final_campaign/synthesis_panel_results.csv
numerical_q3_q4_fallback,required_if_BQSKit_unavailable,yes,Scipy least_squares arbitrary-1q/fixed-CZ ansatz,2/60 <=1e-6 local reductions; none <=1e-8,SCIENTIFIC_NO_GO,AVAILABLE,bounded all-permutation fallback; no global rewrite accepted,compiler/numerical_synthesis.py;results/p11_final_campaign/synthesis_panel_summary.json
permutation_aware_synthesis,untested,yes,q3 six/q4 24 virtual permutations,zero material panel gain,SCIENTIFIC_NO_GO,AVAILABLE,ledger enumerated without physical SWAP insertion,results/p11_final_campaign/synthesis_panel_results.csv
pyzx,untested,yes,PyZX full_reduce plus exact extraction,3834 to 1878 transpiled-basis 2q; 2% versus original 1917,SCIENTIFIC_NO_GO,AVAILABLE,exact graph rewrite but below global compiler gate,results/p11_final_campaign/pyzx_results.json
qcec,untested,yes,full P9 attempt plus local equivalent/non-equivalent smoke,whole P9 timeout,NOT_APPLICABLE_BY_PREDEFINED_GATE,TECHNICALLY_UNAVAILABLE_WITH_FULL_EVIDENCE,6-minute bounded attempt grew to 3.56GB RSS; local smoke passed,results/p11_final_campaign/qcec_results.json;results/p11_final_campaign/toolchain_smoke.json
ddsim,untested,yes,MQT DDSIM qasm prefix pilot,100-q2 prefix timeout,SCIENTIFIC_NO_GO,AVAILABLE,first P9 prefix exceeded 60s watchdog,results/p11_final_campaign/ddsim_results.json
CircuitPermMPS,loose_end,yes,Quimb persistent-permutation MPS max_bond128 cutoff1e-4 1000 samples,no P9 peak; majority count 1,SCIENTIFIC_NO_GO,AVAILABLE,full P9 pilot completed without concentration,results/p11_final_campaign/circuitpermmps_results.json
beam_controller,untested,yes,finite-horizon projected routing-debt beam widths8/16 depths2/4,no P9 peak test,NOT_APPLICABLE_BY_PREDEFINED_GATE,TECHNICALLY_UNAVAILABLE_WITH_FULL_EVIDENCE,external MPO runner exposes no schedule injection boundary; projected finalists preserved,results/p11_final_campaign/beam_controller_results.json
